time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-04 00:00:00+00:00,42,15,0,0
2026-05-05 00:00:00+00:00,45,12,1,1
2026-05-06 00:00:00+00:00,14,8,0,0
2026-05-07 00:00:00+00:00,6,5,10,3
2026-05-08 00:00:00+00:00,15,9,5,4
2026-05-09 00:00:00+00:00,26,8,0,0
2026-05-10 00:00:00+00:00,15,6,1,1
2026-05-11 00:00:00+00:00,28,7,1,1
2026-05-12 00:00:00+00:00,4,4,2,2
2026-05-13 00:00:00+00:00,49,11,5,1
2026-05-14 00:00:00+00:00,26,9,0,0
2026-05-15 00:00:00+00:00,27,10,0,0
2026-05-16 00:00:00+00:00,27,10,0,0
2026-05-17 00:00:00+00:00,12,6,1,1
