time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-30 00:00:00+00:00,3,3,6,2
2025-10-31 00:00:00+00:00,4,4,10,5
2025-11-01 00:00:00+00:00,1,1,3,3
2025-11-02 00:00:00+00:00,7,2,3,3
2025-11-03 00:00:00+00:00,13,3,3,2
2025-11-04 00:00:00+00:00,5,2,3,2
2025-11-05 00:00:00+00:00,3,3,3,3
2025-11-06 00:00:00+00:00,10,7,10,6
2025-11-07 00:00:00+00:00,18,6,15,9
2025-11-08 00:00:00+00:00,22,7,4,3
2025-11-09 00:00:00+00:00,15,5,13,3
2025-11-10 00:00:00+00:00,15,8,14,5
2025-11-11 00:00:00+00:00,5,4,6,5
2025-11-12 00:00:00+00:00,2,2,4,4
