time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-09 00:00:00+00:00,15,5,13.0,3.0
2025-11-10 00:00:00+00:00,15,8,14.0,5.0
2025-11-11 00:00:00+00:00,5,4,6.0,5.0
2025-11-12 00:00:00+00:00,3,3,4.0,4.0
2025-11-13 00:00:00+00:00,4,4,7.0,4.0
2025-11-14 00:00:00+00:00,13,7,,
2025-11-15 00:00:00+00:00,4,3,1.0,1.0
2025-11-16 00:00:00+00:00,2,2,1.0,1.0
2025-11-17 00:00:00+00:00,9,9,5.0,5.0
2025-11-18 00:00:00+00:00,5,5,6.0,4.0
2025-11-19 00:00:00+00:00,3,3,4.0,3.0
2025-11-20 00:00:00+00:00,5,5,4.0,3.0
2025-11-21 00:00:00+00:00,4,4,3.0,3.0
2025-11-22 00:00:00+00:00,1,1,,
