time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-13 00:00:00+00:00,6,5,64.0,10.0
2024-02-14 00:00:00+00:00,2,2,70.0,9.0
2024-02-15 00:00:00+00:00,7,6,18.0,8.0
2024-02-16 00:00:00+00:00,5,5,18.0,5.0
2024-02-17 00:00:00+00:00,3,3,,
2024-02-18 00:00:00+00:00,2,2,,
2024-02-19 00:00:00+00:00,4,4,7.0,3.0
2024-02-20 00:00:00+00:00,2,2,6.0,4.0
2024-02-21 00:00:00+00:00,3,3,2.0,2.0
2024-02-22 00:00:00+00:00,4,4,16.0,6.0
2024-02-23 00:00:00+00:00,2,2,98.0,3.0
2024-02-24 00:00:00+00:00,2,2,4.0,2.0
2024-02-25 00:00:00+00:00,2,2,16.0,3.0
2024-02-26 00:00:00+00:00,2,2,19.0,4.0
